id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010001,LEUWILIANG,LAKI-LAKI,3056,JIWA,2015
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010001,LEUWILIANG,PEREMPUAN,2886,JIWA,2015
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010002,URUG,LAKI-LAKI,4677,JIWA,2015
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010002,URUG,PEREMPUAN,4439,JIWA,2015
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010003,GUNUNGTANDALA,LAKI-LAKI,5291,JIWA,2015
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010003,GUNUNGTANDALA,PEREMPUAN,5035,JIWA,2015
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010004,GUNUNGGEDE,LAKI-LAKI,4169,JIWA,2015
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010004,GUNUNGGEDE,PEREMPUAN,3908,JIWA,2015
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010005,TALAGASARI,LAKI-LAKI,3399,JIWA,2015
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010005,TALAGASARI,PEREMPUAN,3118,JIWA,2015
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010006,TANJUNG,LAKI-LAKI,4540,JIWA,2015
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010006,TANJUNG,PEREMPUAN,4218,JIWA,2015
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010007,CIBEUTI,LAKI-LAKI,5555,JIWA,2015
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010007,CIBEUTI,PEREMPUAN,5169,JIWA,2015
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010008,KARANGANYAR,LAKI-LAKI,4685,JIWA,2015
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010008,KARANGANYAR,PEREMPUAN,4627,JIWA,2015
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010009,CILAMAJANG,LAKI-LAKI,4573,JIWA,2015
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010009,CILAMAJANG,PEREMPUAN,4264,JIWA,2015
19,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010010,KARSAMENAK,LAKI-LAKI,8733,JIWA,2015
20,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278010,KAWALU,3278010010,KARSAMENAK,PEREMPUAN,8531,JIWA,2015
21,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020001,SETIAMULYA,LAKI-LAKI,3551,JIWA,2015
22,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020001,SETIAMULYA,PEREMPUAN,3406,JIWA,2015
23,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020002,SETIAWARGI,LAKI-LAKI,5435,JIWA,2015
24,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020002,SETIAWARGI,PEREMPUAN,5213,JIWA,2015
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020003,TAMANSARI,LAKI-LAKI,4384,JIWA,2015
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020003,TAMANSARI,PEREMPUAN,4266,JIWA,2015
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020004,TAMANJAYA,LAKI-LAKI,4802,JIWA,2015
28,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020004,TAMANJAYA,PEREMPUAN,4522,JIWA,2015
29,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020005,MULYASARI,LAKI-LAKI,6947,JIWA,2015
30,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020005,MULYASARI,PEREMPUAN,6669,JIWA,2015
31,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020006,SUKAHURIP,LAKI-LAKI,4032,JIWA,2015
32,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278020,TAMANSARI,3278020006,SUKAHURIP,PEREMPUAN,3788,JIWA,2015
